Date,Open,High,Low,Close,Adj Close,Volume
2018-07-06,567.000000,567.000000,556.500000,558.000000,558.000000,52613
2018-07-09,557.500000,563.000000,553.500000,560.500000,560.500000,38141
2018-07-10,561.000000,582.000000,560.000000,579.000000,579.000000,83786
2018-07-11,577.500000,586.500000,574.500000,580.500000,580.500000,65512
2018-07-12,580.500000,587.000000,578.000000,586.500000,586.500000,47517
2018-07-13,588.000000,598.500000,585.000000,588.000000,588.000000,115808
2018-07-16,588.500000,592.500000,580.000000,582.000000,582.000000,101865
2018-07-17,582.000000,596.000000,579.000000,594.000000,594.000000,220234
2018-07-18,625.000000,700.000000,625.000000,661.000000,661.000000,992553
2018-07-19,662.500000,690.000000,662.500000,685.000000,685.000000,385507
2018-07-20,685.000000,699.000000,681.000000,692.000000,692.000000,242389
2018-07-23,690.500000,719.500000,686.500000,717.500000,717.500000,321613
2018-07-24,717.000000,724.000000,711.000000,724.000000,724.000000,220633
2018-07-25,723.000000,723.000000,705.500000,715.000000,715.000000,165236
2018-07-26,715.500000,720.500000,701.000000,704.500000,704.500000,171854
2018-07-27,705.000000,720.000000,705.000000,711.000000,711.000000,79113
2018-07-30,711.000000,718.500000,707.500000,708.000000,708.000000,41225
2018-07-31,707.500000,714.000000,702.000000,709.000000,709.000000,67951
2018-08-01,707.500000,713.000000,683.000000,684.500000,684.500000,137879
2018-08-02,683.500000,690.500000,677.500000,685.000000,685.000000,101858
2018-08-03,687.500000,687.500000,674.000000,676.000000,676.000000,71320
2018-08-06,675.000000,675.500000,665.500000,668.500000,668.500000,93615
2018-08-07,666.000000,667.500000,650.500000,651.500000,651.500000,151065
2018-08-08,650.000000,668.500000,645.500000,658.500000,658.500000,162983
2018-08-09,662.500000,670.000000,651.500000,666.000000,666.000000,95233
2018-08-10,666.500000,672.500000,659.500000,668.500000,668.500000,161222
2018-08-13,670.500000,678.000000,661.500000,674.000000,674.000000,99173
2018-08-14,672.500000,678.000000,664.500000,675.000000,675.000000,141631
2018-08-15,676.500000,679.000000,671.000000,671.500000,671.500000,89655
2018-08-16,671.000000,679.500000,668.000000,676.000000,676.000000,71590
2018-08-17,680.500000,691.000000,680.500000,688.500000,688.500000,92732
2018-08-20,689.000000,701.000000,683.000000,697.000000,697.000000,104237
2018-08-21,699.000000,700.500000,664.000000,672.000000,672.000000,167659
2018-08-22,671.500000,687.500000,667.000000,685.000000,685.000000,69430
2018-08-23,684.000000,696.500000,683.500000,695.000000,695.000000,87158
2018-08-24,694.500000,697.500000,692.000000,695.000000,695.000000,44849
2018-08-27,694.500000,706.000000,693.000000,703.000000,703.000000,95469
2018-08-28,702.500000,709.000000,701.000000,701.500000,701.500000,113823
2018-08-29,702.500000,704.000000,692.000000,696.500000,696.500000,95035
2018-08-30,696.000000,705.000000,692.500000,704.000000,704.000000,257980
2018-08-31,705.000000,705.000000,697.000000,700.500000,700.500000,60683
2018-09-03,700.000000,712.500000,694.000000,695.000000,695.000000,60948
2018-09-04,693.500000,701.500000,669.000000,677.000000,677.000000,157121
2018-09-05,677.000000,679.500000,655.000000,656.000000,656.000000,131549
2018-09-06,655.000000,666.000000,650.000000,653.500000,653.500000,131291
2018-09-07,653.000000,659.000000,645.000000,656.500000,656.500000,59731
2018-09-10,657.500000,661.000000,647.000000,655.500000,655.500000,52523
2018-09-11,655.500000,657.500000,647.500000,654.000000,654.000000,55544
2018-09-12,654.000000,663.000000,646.500000,647.000000,647.000000,47207
2018-09-13,652.000000,657.500000,648.000000,656.500000,656.500000,96092
2018-09-14,656.500000,677.500000,652.000000,674.500000,674.500000,79103
2018-09-17,667.000000,670.500000,655.500000,658.500000,658.500000,69579
2018-09-18,656.500000,665.500000,651.000000,659.000000,659.000000,47189
2018-09-19,659.000000,665.500000,655.000000,656.500000,656.500000,42443
2018-09-20,657.000000,664.000000,648.500000,652.000000,652.000000,74063
2018-09-21,652.500000,655.000000,645.000000,650.000000,650.000000,186067
2018-09-24,652.000000,652.500000,646.500000,649.000000,649.000000,46544
2018-09-25,652.000000,652.500000,640.500000,644.000000,644.000000,37077
2018-09-26,641.500000,642.000000,627.000000,631.500000,631.500000,82764
2018-09-27,630.500000,634.500000,612.500000,614.000000,614.000000,99139
2018-09-28,610.000000,636.500000,603.500000,633.500000,633.500000,100436
2018-10-01,633.000000,643.000000,623.500000,637.500000,637.500000,95170
2018-10-02,634.500000,639.000000,615.000000,621.500000,621.500000,81928
2018-10-03,620.500000,633.000000,618.000000,632.500000,632.500000,52416
2018-10-04,633.500000,633.500000,624.500000,630.000000,630.000000,121146
2018-10-05,629.500000,629.500000,624.000000,625.500000,625.500000,46237
2018-10-08,626.500000,626.500000,603.000000,608.500000,608.500000,184276
2018-10-09,616.500000,645.000000,608.500000,611.500000,611.500000,115685
2018-10-10,612.000000,612.000000,587.500000,588.500000,588.500000,97432
2018-10-11,575.000000,596.000000,568.000000,588.000000,588.000000,151758
2018-10-12,595.500000,611.000000,582.500000,586.500000,586.500000,143690
2018-10-15,588.000000,589.000000,563.000000,581.000000,581.000000,106348
2018-10-16,576.500000,604.500000,575.500000,595.000000,595.000000,69072
2018-10-17,595.000000,606.500000,582.500000,586.000000,586.000000,109345
2018-10-18,585.000000,593.500000,579.000000,581.500000,581.500000,78064
2018-10-19,580.500000,587.500000,572.500000,586.000000,586.000000,61269
2018-10-22,587.000000,602.000000,587.000000,595.500000,595.500000,78682
2018-10-23,588.500000,588.500000,563.500000,576.000000,576.000000,215127
2018-10-24,551.000000,570.500000,482.000000,569.000000,569.000000,1051153
2018-10-25,561.000000,604.500000,554.500000,602.000000,602.000000,276791
2018-10-26,604.000000,661.500000,603.000000,658.500000,658.500000,357245
2018-10-29,658.000000,680.000000,644.000000,658.000000,658.000000,158703
2018-10-30,658.500000,678.000000,651.500000,676.500000,676.500000,98414
2018-10-31,683.000000,692.000000,675.000000,688.500000,688.500000,139904
2018-11-01,690.500000,700.500000,669.000000,671.500000,671.500000,111879
2018-11-02,676.000000,682.500000,676.000000,676.500000,676.500000,63594
2018-11-05,676.500000,678.500000,656.000000,658.000000,658.000000,63463
2018-11-06,660.000000,664.500000,649.500000,649.500000,649.500000,61076
2018-11-07,647.500000,652.000000,634.500000,638.500000,638.500000,72644
2018-11-08,637.000000,656.500000,635.500000,638.000000,638.000000,53914
2018-11-09,638.000000,638.000000,638.000000,638.000000,638.000000,0
2018-11-12,627.000000,633.500000,606.500000,608.000000,608.000000,86075
2018-11-13,607.500000,624.500000,586.500000,594.500000,594.500000,87866
2018-11-14,588.000000,610.500000,574.000000,602.000000,602.000000,89293
2018-11-15,600.000000,607.000000,579.500000,582.000000,582.000000,64378
2018-11-16,583.000000,595.000000,580.500000,592.500000,592.500000,52789
2018-11-19,599.000000,599.500000,574.500000,579.000000,579.000000,54080
2018-11-20,579.000000,579.000000,555.000000,563.000000,563.000000,94250
2018-11-21,565.000000,575.000000,555.500000,569.500000,569.500000,110650
2018-11-22,578.500000,593.500000,571.000000,574.500000,574.500000,71307
2018-11-23,574.500000,574.500000,563.500000,573.000000,573.000000,30677
2018-11-26,574.500000,582.500000,561.500000,566.500000,566.500000,39369
2018-11-27,567.000000,572.000000,554.500000,560.000000,560.000000,56737
2018-11-28,558.000000,562.500000,548.500000,551.000000,551.000000,42836
2018-11-29,560.500000,562.500000,538.500000,551.000000,551.000000,82026
2018-11-30,550.000000,555.000000,539.500000,544.000000,544.000000,65425
2018-12-03,551.000000,562.500000,547.500000,552.500000,552.500000,69779
2018-12-04,550.000000,561.500000,546.000000,559.000000,559.000000,80093
2018-12-05,552.000000,558.500000,540.500000,542.000000,542.000000,48859
2018-12-06,542.000000,542.000000,514.000000,518.000000,518.000000,131913
2018-12-07,527.500000,549.000000,523.000000,526.500000,526.500000,73660
2018-12-10,520.000000,530.000000,516.500000,520.500000,520.500000,62725
2018-12-11,525.000000,533.000000,517.500000,517.500000,517.500000,54316
2018-12-12,517.500000,517.500000,517.500000,517.500000,517.500000,0
2018-12-13,530.000000,535.000000,518.500000,522.500000,522.500000,43957
2018-12-14,521.500000,521.500000,506.000000,516.500000,516.500000,88589
2018-12-17,514.500000,525.000000,505.000000,510.000000,510.000000,88412
2018-12-18,511.000000,515.000000,490.200012,510.000000,510.000000,151762
2018-12-19,506.000000,524.500000,504.500000,514.000000,514.000000,66291
2018-12-20,509.000000,521.000000,505.500000,510.000000,510.000000,72535
2018-12-21,513.000000,520.500000,507.500000,512.000000,512.000000,85012
2018-12-27,513.000000,520.500000,499.600006,503.500000,503.500000,59431
2018-12-28,508.500000,515.000000,507.000000,509.500000,509.500000,63184
2019-01-02,510.000000,526.500000,500.000000,521.000000,521.000000,71181
2019-01-03,519.000000,525.500000,512.500000,514.500000,514.500000,61394
2019-01-04,515.500000,542.000000,514.500000,537.500000,537.500000,45315
2019-01-07,538.000000,555.500000,538.000000,548.500000,548.500000,66459
2019-01-08,553.000000,554.500000,541.500000,550.500000,550.500000,51397
2019-01-09,546.000000,560.500000,537.500000,557.500000,557.500000,88460
2019-01-10,557.000000,574.500000,555.000000,571.500000,571.500000,74167
2019-01-11,574.000000,574.500000,563.500000,564.000000,564.000000,45853
2019-01-14,562.000000,574.500000,559.500000,571.500000,571.500000,66086
2019-01-15,563.500000,563.500000,531.000000,551.500000,551.500000,280723
2019-01-16,559.500000,583.500000,559.500000,578.000000,578.000000,101836
2019-01-17,577.500000,583.000000,570.500000,575.500000,575.500000,56831
2019-01-18,576.000000,585.000000,576.000000,584.000000,584.000000,45864
2019-01-21,584.000000,584.500000,572.500000,576.500000,576.500000,38141
2019-01-22,575.000000,579.000000,553.000000,558.000000,558.000000,50025
2019-01-23,558.000000,562.500000,549.500000,554.000000,554.000000,40926
2019-01-24,563.000000,567.500000,542.000000,555.000000,555.000000,54477
2019-01-25,555.500000,559.000000,549.000000,551.500000,551.500000,49164
2019-01-28,551.500000,554.500000,537.000000,544.000000,544.000000,63764
2019-01-29,549.000000,569.000000,535.000000,563.500000,563.500000,84407
2019-01-30,565.500000,568.000000,550.000000,557.000000,557.000000,48545
2019-01-31,556.500000,557.500000,538.000000,542.000000,542.000000,83287
2019-02-01,542.000000,559.000000,542.000000,543.000000,543.000000,52980
2019-02-04,542.500000,568.500000,542.500000,566.000000,566.000000,53094
2019-02-05,568.000000,578.500000,566.000000,577.000000,577.000000,46055
2019-02-06,575.500000,592.000000,567.500000,592.000000,592.000000,84133
2019-02-07,591.500000,596.500000,584.500000,586.000000,586.000000,84931
2019-02-08,586.000000,595.500000,581.000000,591.000000,591.000000,51514
2019-02-11,595.000000,608.000000,593.000000,596.500000,596.500000,62259
2019-02-12,604.000000,604.000000,586.000000,591.000000,591.000000,85672
2019-02-13,591.500000,607.000000,591.000000,600.500000,600.500000,68882
2019-02-14,636.000000,687.000000,617.500000,642.000000,642.000000,691755
2019-02-15,646.000000,682.000000,645.500000,681.000000,681.000000,282426
2019-02-18,681.000000,686.000000,659.500000,672.000000,672.000000,163517
2019-02-19,672.000000,677.000000,663.000000,676.000000,676.000000,114524
2019-02-20,676.000000,682.000000,673.000000,678.500000,678.500000,54011
2019-02-21,681.000000,691.500000,672.500000,690.000000,690.000000,117572
2019-02-22,690.000000,702.000000,690.000000,695.500000,695.500000,119216
2019-02-25,695.500000,700.500000,681.500000,689.500000,689.500000,55803
2019-02-26,689.500000,708.000000,685.500000,699.000000,699.000000,102970
2019-02-27,692.000000,700.000000,691.500000,700.000000,700.000000,50262
2019-02-28,699.000000,699.000000,687.000000,689.500000,689.500000,89039
2019-03-01,697.500000,704.000000,688.500000,703.000000,703.000000,100398
2019-03-04,722.000000,738.000000,716.500000,720.000000,720.000000,179008
2019-03-05,720.000000,739.500000,720.000000,734.000000,734.000000,135058
2019-03-06,733.000000,744.500000,733.000000,737.500000,737.500000,129393
2019-03-07,735.500000,736.000000,711.500000,711.500000,711.500000,143079
2019-03-08,711.500000,716.500000,696.500000,700.000000,700.000000,111093
2019-03-11,699.000000,715.500000,696.500000,711.500000,711.500000,54792
2019-03-12,711.500000,715.000000,701.000000,707.500000,707.500000,64069
2019-03-13,707.000000,714.000000,684.500000,692.000000,692.000000,153563
2019-03-14,692.000000,698.500000,686.000000,688.000000,688.000000,51493
2019-03-15,688.000000,694.500000,685.000000,691.000000,691.000000,80182
2019-03-18,691.000000,703.500000,691.000000,699.500000,699.500000,63911
2019-03-19,699.500000,713.500000,696.000000,713.500000,713.500000,55402
2019-03-20,714.000000,715.500000,699.500000,702.000000,702.000000,86879
2019-03-21,702.500000,712.500000,701.000000,707.500000,707.500000,81994
2019-03-22,708.500000,711.500000,699.000000,699.500000,699.500000,50141
